Year,Country,Foreign Direct Investment billion USD,Predicted FDI billion USD,FDI Potential in %,FDI Potential in billion USD,Average FDI Potential in billion USD (Last 5 Years),Average FDI Potential in % (Last 5 Years),Population size in millions,Gross Domestic Product billions of U.S. dollars,Value added in the agricultural sector as percent of GDP,Value added by the manufacturing sector as percent of GDP,Value added in the services sector as percent of GDP,Tax rate percent of commercial profits,Political stability index (-2.5 weak; 2.5 strong),Regulatory quality index (-2.5 weak; 2.5 strong),Rank
2021,Kuwait,-0.27,0.940141,-3.482003785945751,1.2101410222053528,1.3723536314964295,-17.75189684594022,4.25,105.96,0.46,6.61,69.06,13.0,0.3,0.17,33.0
2021,Thailand,14.64,8.856248,0.6049349659779032,-5.783752098083497,1.3031877517700194,0.42679129221744666,71.6,505.95,8.53,27.01,56.69,29.5,-0.55,0.09,34.0
2021,Namibia,0.65,1.6007705,2.4627238053541918,0.9507704734802246,1.274758776664734,-1.7460656074313925,2.53,12.31,9.48,11.26,58.33,20.7,0.55,-0.0,35.0
2021,Kiribati,0.0,1.420427,inf,1.4204269647598267,1.1961068868637086,,0.13,0.21,26.18,4.35,67.9,32.7,1.19,-0.48,36.0
2021,Mauritius,0.25,1.889367,7.557467937469482,1.6393669843673706,1.1900308418273926,4.975215481251125,1.27,11.53,3.27,11.65,66.87,22.2,0.86,1.17,37.0
2021,Trinidad and Tobago,-1.09,0.9721364,-0.8918682369617147,2.062136378288269,1.189524821281433,0.46815177552731824,1.53,24.46,0.96,19.48,54.02,40.5,0.15,-0.09,38.0
2021,Comoros,0.0,0.93107164,inf,0.9310716390609741,0.9948305349349976,,0.82,1.3,35.51,0.946,50.93,219.6,-0.23,-1.25,39.0
2021,Lesotho,-0.01,1.1094986,-110.94986200332642,1.1194986200332642,0.9800544352531434,-0.7103231549263,2.28,2.5,4.95,15.06,49.17,13.6,-0.22,-0.74,40.0
2021,Bhutan,0.01,0.93107164,93.10716390609741,0.9210716390609741,0.9310716390609741,,0.78,2.54,19.19,5.86,43.99,35.3,0.97,-0.37,41.0
2021,Tonga,0.0,0.93107164,inf,0.9310716390609741,0.9290716390609741,,0.11,0.47,16.32,5.19,49.66,27.5,1.07,-0.28,42.0
2021,Croatia,4.66,3.789728,0.813246336106067,-0.8702720737457277,0.9289077310562135,2.225793983423664,3.9,68.96,2.91,11.4,60.4,20.5,0.71,0.5,43.0
2021,Samoa,0.01,0.93107164,93.10716390609741,0.9210716390609741,0.9230716390609741,,0.22,0.84,9.85,4.87,69.79,19.3,1.11,-0.17,44.0
2021,Central African Republic,0.03,0.94510156,31.503385305404663,0.9151015591621399,0.9211015591621399,47.255077958106995,5.46,2.52,30.07,17.48,39.66,73.3,-2.1,-1.49,45.0
2021,Eritrea,0.07,0.93107164,13.301023415156772,0.8610716390609741,0.9111857023239136,14.956326030549548,3.62,2.07,14.12,5.49,37.592,83.7,-1.01,-2.27,46.0
2021,Suriname,-0.13,0.94510156,-7.270011993554922,1.0751015591621398,0.90910155916214,,0.61,2.98,9.19,22.61,51.74,27.9,0.37,-0.7,47.0
2021,Solomon Islands,0.03,0.93107164,31.03572130203247,0.9010716390609741,0.9050716390609741,45.00179588794708,0.71,1.63,34.12,9.68,48.64,32.0,0.49,-0.86,48.0
2021,Guinea-Bissau,0.02,0.93107164,46.553581953048706,0.9110716390609741,0.9010716390609741,39.90307024547032,2.06,1.64,30.86,9.11,50.19,45.5,-0.28,-1.26,49.0
2021,Swaziland,0.11,0.94510156,8.591832356019454,0.8351015591621399,0.8951015591621398,11.04821519626604,1.19,4.74,8.14,26.66,53.96,35.8,-0.03,-0.58,50.0
2021,Vanuatu,0.04,0.93107164,23.276790976524353,0.8910716390609741,0.895071639060974,27.932149171829224,0.32,0.96,21.22,2.78,59.79,8.5,0.79,-0.12,51.0
2021,Sao Tome and Principe,0.06,0.93107164,15.517860651016235,0.8710716390609741,0.895071639060974,31.65643572807312,0.22,0.53,13.95,5.51,72.25,37.0,0.6,-0.93,51.0
2021,Afghanistan,0.02,0.93107164,46.553581953048706,0.9110716390609741,0.8870716390609742,42.518938183784485,40.1,14.79,33.48,9.06,46.51,71.4,-2.53,-1.34,52.0
2021,Kyrgyzstan,0.25,0.93107164,3.7242865562438965,0.6810716390609741,0.8836596193313598,0.36070962192176226,6.69,8.54,14.68,13.46,48.44,29.0,-0.43,-0.58,53.0
2021,Togo,0.13,0.93107164,7.162089531238262,0.8010716390609741,0.8650716390609741,-0.10458924394824046,8.64,8.41,19.28,13.71,49.26,48.2,-0.8,-0.63,54.0
2021,Malawi,0.05,0.93107164,18.621432781219482,0.8810716390609741,0.8650716390609741,14.94887242714564,19.89,12.63,22.73,11.54,52.44,34.5,-0.11,-0.79,54.0
2021,Zambia,-0.82,0.95810664,-1.1684227280500459,1.7781066370010374,0.841378116607666,1.8426974529849602,19.47,22.15,3.39,9.42,49.88,15.6,0.06,-0.55,55.0
2021,Belize,0.13,0.93107164,7.162089531238262,0.8010716390609741,0.8410716390609743,13.58807541621037,0.4,2.49,7.69,6.78,61.83,31.1,0.46,-0.42,56.0
2021,Latvia,3.72,2.9010396,0.7798493549387941,-0.8189603996276857,0.8383068552017212,2.447108528966402,1.88,39.85,4.11,11.97,63.68,38.1,0.69,1.22,57.0
2021,Burkina Faso,0.14,0.93107164,6.650511707578386,0.7910716390609741,0.8370716390609741,,22.1,19.74,17.46,9.52,42.09,41.3,-1.64,-0.47,58.0
2021,Cape Verde,0.1,0.93107164,9.310716390609741,0.8310716390609741,0.8310716390609741,9.629134829942283,0.59,1.94,4.41,8.61,57.32,37.5,0.9,0.27,59.0
2021,Saint Vincent and the Grenadines,0.16,0.93107164,5.819197744131088,0.7710716390609741,0.8290716390609741,12.23498550908906,0.1,0.9,6.91,4.11,62.73,37.0,1.04,0.34,60.0
2021,Botswana,0.06,0.97922206,16.320367654164635,0.9192220592498779,0.8277519025802611,13.220004422841015,2.59,17.61,1.72,5.56,63.63,25.1,0.98,0.61,61.0
2021,Nepal,0.2,1.0041668,5.02083420753479,0.804166841506958,0.8231320066452026,7.294120389819492,30.03,36.29,21.32,4.67,52.58,41.8,-0.24,-0.62,62.0
2021,Haiti,0.05,0.94510156,18.902031183242798,0.8951015591621398,0.81710155916214,14.673069374493943,11.45,20.94,20.62,19.3,51.58,42.7,-1.1,-1.32,63.0
2021,Burundi,0.01,0.8151852,81.51851892471313,0.8051851892471313,0.8111851892471312,,12.55,2.78,28.66,9.36,44.81,41.2,-1.36,-0.98,64.0
2021,Liberia,0.05,0.93107164,18.621432781219482,0.8810716390609741,0.809071639060974,10.039657947344656,5.19,3.51,36.96,2.28,37.73,46.2,-0.24,-0.95,65.0
2021,Gambia,0.25,0.93107164,3.7242865562438965,0.6810716390609741,0.8010716390609742,9.816388631673684,2.64,2.04,22.42,1.87,53.35,48.4,0.18,-0.87,66.0
2021,Saint Lucia,0.09,0.95810664,10.64562930001153,0.8681066370010376,0.7999297051429749,13.241159760289724,0.18,1.69,1.76,3.21,72.16,34.7,0.85,0.37,67.0
2021,Finland,23.87,10.5139475,0.44046700824790286,-13.35605251312256,0.7943711624145514,-0.6192567084918841,5.54,297.3,2.3,14.68,59.79,36.6,0.98,1.9,68.0
2021,Djibouti,0.17,0.95810664,5.63592139412375,0.7881066370010376,0.7921066370010376,5.776819428976844,1.11,3.48,1.68,4.43,77.27,37.9,-0.71,-0.87,69.0
2021,Tajikistan,0.08,0.94510156,11.813769489526749,0.8651015591621399,0.7746836071014405,6.794359435773596,9.75,8.75,23.96,15.63,35.25,67.3,-0.61,-1.13,70.0
2021,Seychelles,0.11,0.95810664,8.710060336373068,0.8481066370010376,0.7661066370010376,6.450523716357877,0.1,1.45,2.14,5.2,67.19,30.1,0.76,0.02,71.0
2021,Paraguay,0.21,1.0556966,5.027126698266892,0.8456966066360474,0.7630057907104493,4.983520041236948,6.7,39.5,9.87,19.66,48.47,35.0,-0.0,-0.21,72.0
2021,Palestine,0.26,0.93107164,3.581044765619131,0.6710716390609741,0.7590716390609742,6.397564894768782,4.92,18.04,7.1,11.05,60.55,15.3,-1.84,-0.02,73.0
2021,Barbados,0.24,0.95810664,3.9921109875043235,0.7181066370010376,0.7481066370010376,5.333981394026756,0.28,4.84,1.48,5.06,71.1,35.6,1.12,0.56,74.0
2021,Armenia,0.37,0.93107164,2.51640983529993,0.5610716390609741,0.7240476751327515,6.915000632288937,2.79,13.86,11.34,11.4,52.8,22.6,-0.84,0.15,75.0
2021,Papua New Guinea,-0.01,0.8454616,-84.54616069793701,0.8554616069793701,0.7102165088653565,-15.330858652014957,9.95,26.59,18.76,1.69,44.03,37.1,-0.58,-0.83,76.0
2021,Benin,0.35,0.93107164,2.660204683031355,0.5810716390609741,0.7050716390609741,4.38499514688308,13.0,17.14,29.44,9.78,47.34,48.9,-0.3,-0.43,77.0
2021,Rwanda,0.21,0.93107164,4.433674471718924,0.7210716390609742,0.6836534481048584,4.054307025335115,13.46,11.07,24.06,9.18,47.76,33.2,0.17,0.07,78.0
